Last Name,First Name,Middle Name,Suffix,Sex/Gender,Age,Birthdate,Years of Residency,Unit/Blk/Street,Purok,Brgy,Municipality,Province,Region
Garcia,Valerie,Angelica,III,Male,79,1946-12-18,2,4304 Makiling Road,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Mendoza,Kim,Paul,Jr.,Female,54,1971-12-14,27,2849 Squash Boulevard,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Hughes,Matthew,Pedro,Jr.,Male,55,1970-10-28,11,1072 11th Boulevard,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Jacobs,Nicole,Debra,,Female,86,1939-03-18,56,2613 90th Boulevard,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Davis,Christopher,Darlene,Jr.,Female,50,1975-04-24,9,3176 Turquoise Drive,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Benjamin,Lauren,Melissa,,Female,87,1938-06-30,35,4785 78th Street,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Pittman,Elizabeth,Vanessa,,Male,55,1970-08-17,33,8235 Castro Drive Extension,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Ochoa,Cory,Kari,Jr.,Male,44,1981-06-10,11,7391-G Malinao Street,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Graves,Aaron,Emily,,Male,54,1971-10-30,21,7822D Reyes Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Lane,Sean,Jasmin,,Female,86,1939-01-25,65,1330 97th Road,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Richards,Debra,Jeremy,,Male,57,1968-10-29,2,2012 Sicaba Drive,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Mills,Dan,Mary,Jr.,Female,41,1984-11-08,12,7104 Malinao Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Smith,Charles,Brian,Sr.,Male,38,1987-08-28,19,2832-D Peridot Avenue,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Jennings,Jorge,Kim,Sr.,Male,25,2000-11-07,2,5091 Hart Drive Extension,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Mendoza,Scott,Sharon,,Male,64,1961-12-07,32,1668 Jade Avenue,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Williams,Ashlee,Michael,Sr.,Male,45,1980-09-27,5,8812 Iriga Street,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Simpson,Amanda,Jennifer,Sr.,Male,50,1975-02-12,13,3182E Malinao Street,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Taylor,Amy,Michael,III,Male,22,2003-10-18,3,7376-I Emerald Avenue,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Wright,Jessica,Peter,III,Female,90,1935-01-14,41,5501 D Earth Road,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Foster,Kenneth,Tiffany,Sr.,Male,36,1989-02-25,6,2129 Garnet Drive,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Rose,Rebecca,Jeffrey,Jr.,Female,38,1987-12-10,1,2418 Lapis Lazuli Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Smith,John,John,,Female,60,1965-12-17,23,2131 Samat Drive,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Delgado,Kayla,Charles,Jr.,Female,76,1949-08-11,13,7491 69th Drive Extension,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Pollard,Regina,Karen,,Male,19,2006-09-29,1,3891 Unit I Sardonyx Road,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Farrell,Aaron,Chase,Sr.,Male,69,1956-08-30,0,5163 Sapphire Street,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Murillo,Michael,Daniel,,Male,67,1958-01-04,43,3766 Catmon Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Williams,Robert,Donald,Jr.,Female,50,1975-06-19,1,3264-G Molave Road,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Shepard,David,Pamela,III,Male,85,1940-04-19,24,8629 30th Street,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Sims,John,Alexandria,Jr.,Female,27,1998-05-28,3,6083C Ortiz Highway,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Ferguson,Jerry,Gabriel,Sr.,Female,59,1966-04-23,36,6293 I Planet Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Clark,Lori,Susan,,Male,76,1949-01-14,1,8563 Zodiac Street,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Andrews,Tara,Monica,Jr.,Female,70,1955-07-17,7,833 Samat Road,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Crane,Brandy,Steven,Sr.,Male,66,1959-01-03,43,725 Tulip Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Moore,Brandon,Lisa,,Male,76,1949-07-29,24,4899 J Agoho Circle,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Strickland,Stacey,Tamara,III,Male,39,1986-06-29,13,1692 Sagittarius Road,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Coffey,Geoffrey,Michelle,Sr.,Male,69,1956-06-21,24,1825 Mueller Avenue Extension,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Russell,Matthew,Amy,III,Female,76,1949-02-27,4,2511 Anubing Avenue Extension,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Little,William,Lori,III,Male,81,1944-09-01,58,1037 E 58th Drive,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Ibarra,Debra,William,,Female,67,1958-01-08,45,2440D Mayon Road,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Benton,Cody,Jessica,Sr.,Male,72,1953-07-20,8,1110-B 33rd Avenue,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Gardner,Isaac,Susan,Jr.,Female,32,1993-11-26,11,3372 I Amber Road,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Lawson,Cassandra,Tracie,III,Female,59,1966-10-18,18,8332 Jasper Road,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Williams,Tracy,Laura,Jr.,Female,78,1947-11-29,49,2315-J Sardonyx Road,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Miller,Luke,Brittany,,Female,57,1968-04-17,37,4886 Zircon Street,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Frey,Daniel,Heather,,Female,58,1967-08-16,14,5634A 27th Drive Extension,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Gonzalez,Rebekah,Christina,Jr.,Female,30,1995-08-24,12,9410 Banuyo Drive,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Williams,Donald,Gregory,,Male,62,1963-12-08,10,4154B Malinao Avenue,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Branch,Jennifer,Robert,Sr.,Female,23,2002-10-14,2,583 Asteroid Street,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Duke,Benjamin,Christina,Jr.,Male,47,1978-05-09,2,625 Ruby Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Klein,Blake,Amber,,Male,19,2006-01-06,0,4426 Jade Street,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Pierce,Samuel,Erica,Jr.,Female,51,1974-12-30,17,8538 Porter Road,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Thompson,Jonathan,Jonathan,Sr.,Male,55,1970-05-19,24,2717 Unit D Orion Drive,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Lambert,Jonathan,Shari,III,Female,20,2005-02-25,0,5820 Caballero Drive,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Lee,Amber,Jack,Sr.,Male,36,1989-10-01,8,924 Juno Street,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Lloyd,Angela,Gary,III,Female,83,1942-07-30,13,1271-F Mabolo Avenue Extension,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Olsen,Rhonda,Sabrina,Sr.,Male,88,1937-08-02,19,7005 Unit A 34th Street,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Perez,Larry,John,Sr.,Male,74,1951-01-08,45,2733 Camachile Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Welch,John,Michael,,Male,35,1990-08-29,1,6903 Garcia Expressway,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Hanson,Katherine,Norma,Sr.,Female,64,1961-11-03,26,8763 63rd Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Morales,Sara,Thomas,,Female,69,1956-12-07,51,4103 Unit C Schwartz Extension,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Clark,Michael,Casey,Jr.,Female,23,2002-12-01,5,3033 Unit H Carissa Extension,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Turner,Michelle,Bonnie,III,Male,57,1968-10-14,28,3653 Unit A Moonstone Road,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Barber,Andrea,Angelica,Jr.,Female,37,1988-05-09,16,1412 I Magnolia Road,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Collins,Emily,Michael,,Male,88,1937-02-05,0,7938 G Quinn Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Flynn,Daniel,Lisa,Jr.,Male,51,1974-03-28,15,737 E 3rd Street,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Elliott,Kimberly,Brian,,Female,26,1999-03-17,5,8745 Unit B Kaimito Drive,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Russo,Corey,Megan,Jr.,Female,45,1980-01-03,21,5520B Melon Extension,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Morrison,Michael,Paul,Sr.,Female,21,2004-06-11,1,1505 35th Drive,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Hodges,Robert,Angela,Sr.,Male,75,1950-02-18,12,8348 Dickson Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Robinson,Patrick,Elijah,,Male,78,1947-11-12,33,5545 Makiling Boulevard,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Terrell,Diana,Nicole,,Male,79,1946-01-19,8,4286 B Uranus Road,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Wiggins,Christopher,Dana,III,Male,36,1989-11-09,1,9642 Magnolia Street,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Johnson,Michael,Christian,,Male,29,1996-05-28,4,9546 Coleman Road,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Kim,Corey,Briana,III,Female,60,1965-07-25,7,4499 Smith Avenue,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Jones,Michele,Sarah,III,Male,24,2001-11-04,6,6308B Onyx Drive,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Scott,Devin,Rebecca,III,Male,53,1972-05-26,11,4817B Tanguile Boulevard,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Petty,Michelle,Keith,Sr.,Female,81,1944-03-28,13,132 1st Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Martin,Carolyn,Jason,III,Male,78,1947-12-04,45,6387 Venus Road,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Barrett,Kimberly,Mary,III,Male,86,1939-10-28,10,1331 65th Avenue,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Baker,Danny,Clifford,,Female,31,1994-08-29,10,3877 Comet Road,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Johnston,Lauren,Stephen,III,Male,55,1970-07-14,17,7382 Catmon Drive,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Berry,Jason,Christine,III,Male,80,1945-02-23,49,5339-D Patterson Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Burns,Victor,Dana,Jr.,Female,58,1967-05-11,4,7954 Unit F Matumtum Drive,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Flores,Kelsey,Christopher,Sr.,Male,30,1995-01-29,6,6684 A Mayon Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Solis,Eric,Jose,III,Female,65,1960-10-08,8,1717 50th Drive,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Gomez,Patricia,Kimberly,,Male,42,1983-09-30,23,8627 Santol Road,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Green,Connie,Brooke,,Female,30,1995-11-21,10,6046 A Warren Road,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Coleman,Jason,Amy,III,Female,81,1944-10-10,61,4249 60th Avenue,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Wilson,Michael,Jeffery,III,Male,32,1993-05-12,13,4213 Milky Way Avenue,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Lee,Karen,Vanessa,,Female,69,1956-12-26,14,6114 D 97th Highway,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Perkins,Douglas,Jack,,Male,18,2007-10-07,0,7147-B Mercury Drive,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Stephens,Jennifer,Sarah,III,Male,26,1999-01-01,1,8584 76th Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Day,Tiffany,Katherine,III,Male,37,1988-03-01,17,3059 Burke Avenue,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Haley,Brooke,Brian,Sr.,Male,18,2007-04-22,0,127I Citrine Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Moore,Charles,Steven,III,Female,50,1975-09-19,3,3177 Unit F Sagittarius Road Extension,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Edwards,Darren,Alex,Sr.,Male,45,1980-05-01,7,5293 Unit F Granada Street,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Gallagher,Amanda,John,,Male,69,1956-03-23,36,1667 Edwards Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Roberson,Kyle,Brandon,,Male,50,1975-12-12,15,2478 Arroyo Street,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Garcia,George,Joseph,,Female,64,1961-02-28,35,9289 Knapp Extension,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Davis,Michael,Laura,III,Female,22,2003-05-23,3,2031 Tulip Road,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Wagner,Johnny,Kenneth,,Male,23,2002-11-17,2,8456 Hanson Drive,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Monroe,Sarah,Ian,III,Male,21,2004-12-25,2,1713 A 62nd Street,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Brown,Alicia,Joseph,III,Male,69,1956-07-14,44,7889 Emerald Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Thompson,Joseph,Andrea,Jr.,Male,49,1976-07-24,29,2514 Unit C Carney Highway,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Castillo,Brittany,Timothy,Jr.,Male,53,1972-07-09,7,8116 Unit D Bulusan Road,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Perkins,Mary,Kayla,Sr.,Female,72,1953-03-02,2,4355E Moonstone Avenue,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Anderson,Anna,Michael,,Female,40,1985-02-26,7,4122 60th Road,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Baker,Brenda,Benjamin,III,Female,47,1978-09-06,4,4478-H Cresta Street,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Hunter,Shannon,Tom,Sr.,Male,23,2002-05-04,0,1088-F Orion Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Fuentes,Spencer,Jonathan,Jr.,Female,54,1971-12-21,9,414 J 34th Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Barber,Lisa,Jason,,Female,42,1983-03-01,2,3049 Aries Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Boyd,Leah,Jerry,,Female,79,1946-05-30,35,8036 Virgo Extension,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Kelley,Howard,Kenneth,,Male,63,1962-11-30,30,9943 Unit J Capricorn Boulevard,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Giles,Chris,Joshua,,Male,36,1989-02-23,4,6651 Duhat Avenue,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Duncan,Mary,Christopher,,Male,79,1946-09-29,5,4144-E Scorpio Avenue,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Davis,Zachary,Amy,Sr.,Male,22,2003-02-11,1,6092 Camia Drive,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Brown,Angelica,Stephanie,Jr.,Male,42,1983-05-13,5,1546 Foster Avenue,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Cunningham,Michael,Laura,III,Female,18,2007-05-12,0,3132 Taylor Drive,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Williamson,Cassandra,Paul,,Female,45,1980-01-27,19,7472 Miller Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Reyes,Gerald,Larry,III,Male,44,1981-11-06,4,1715J Miller Boulevard Extension,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Long,Karen,Alicia,Sr.,Female,27,1998-03-17,7,1990-C Kanlaon Drive,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Johnson,Nathan,Marie,III,Male,85,1940-08-14,24,6212 9th Extension,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Barnett,Christopher,Natalie,,Male,90,1935-03-06,40,6494 59th Boulevard Extension,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Dorsey,John,Alexandria,Jr.,Male,82,1943-06-14,41,3983 Velasquez Street,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Warner,Gregg,Phillip,Sr.,Male,66,1959-10-21,44,6236 Patterson Boulevard,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Simmons,Jacob,Brianna,,Male,77,1948-10-24,30,7635H Asteroid Avenue,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Santos,Eric,Stacy,,Female,47,1978-12-09,10,1549 Newman Avenue,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Young,James,Bradley,,Female,59,1966-12-17,32,8176 Porter Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Black,Mark,Tina,Sr.,Male,85,1940-07-24,34,9187-J Scorpio Road Extension,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Cross,Sara,Adam,Sr.,Female,80,1945-08-27,11,7226E 26th Extension,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Rowe,Sarah,Rebecca,Jr.,Male,46,1979-09-13,1,573 B Anahaw Boulevard,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Lopez,Kenneth,Heather,,Male,34,1991-11-09,8,3512 Constellation Road,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Silva,John,Matthew,Jr.,Male,36,1989-03-20,3,4077F 56th Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Lopez,Kim,James,,Female,42,1983-04-25,1,1620I Macapuno Avenue,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Jensen,Charles,Audrey,,Male,23,2002-10-12,3,5869-H 90th Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Shaw,Jonathan,Steven,,Female,45,1980-09-25,4,463 Samat Extension,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Wilson,Larry,Mark,,Male,88,1937-07-20,36,6066 Hale Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Huff,Erin,Jake,,Male,48,1977-06-06,28,4679 Halcon Street,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Humphrey,Sara,Virginia,Sr.,Male,23,2002-10-23,5,4706 Powell Extension,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Thomas,Christopher,Katie,,Female,42,1983-12-26,23,6793 Mars Avenue,Purok 1,Poblacion I,Amadeo,Cavite,Region IV-A
Hayes,Amanda,Ashley,Sr.,Female,58,1967-05-09,23,3452 D Kamias Extension,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Baker,Christina,David,Sr.,Female,59,1966-06-29,3,6425 West Road,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Flowers,Meagan,Clifford,Sr.,Male,32,1993-11-28,2,4829 Unit E Hydra Avenue,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Lucas,Jennifer,Sheryl,,Female,63,1962-11-25,0,8306 43rd Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Harrell,Karen,Cassandra,III,Female,46,1979-07-22,10,8719-D Gonzalez Street,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Carter,Jennifer,Dustin,,Male,40,1985-09-11,5,8481B Tanguile Drive Extension,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Taylor,Arthur,Rebecca,,Female,21,2004-12-16,3,1753 D 95th Road,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Yates,Ronald,Charles,Jr.,Male,78,1947-09-04,14,3683-H Avery Avenue,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Hampton,Allen,Alex,III,Female,46,1979-10-19,8,3808 Constellation Street,Purok 4,Poblacion I,Amadeo,Cavite,Region IV-A
Harris,Katherine,Leslie,III,Male,77,1948-08-04,48,7694 Bauhinia Street,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Gibson,Jennifer,William,,Male,74,1951-05-04,52,9398 H Virgo Street,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
Compton,Dennis,Melissa,,Male,38,1987-05-15,8,4819 Kidd Drive,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Cooley,Patricia,Clinton,,Male,86,1939-07-29,0,8998-I Pluto Road,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Robertson,Sean,Amber,III,Female,40,1985-01-25,16,2453 Lawaan Drive,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Johnson,Max,Jeffrey,Sr.,Male,46,1979-05-12,16,8705 Unit G Canopus Street,Purok 7,Poblacion I,Amadeo,Cavite,Region IV-A
Smith,Abigail,Christopher,,Female,69,1956-10-30,0,3629 92nd Road,Purok 6,Poblacion I,Amadeo,Cavite,Region IV-A
Howell,Holly,Sheila,,Female,41,1984-02-14,9,5879C 52nd Street,Purok 3,Poblacion I,Amadeo,Cavite,Region IV-A
Davis,Sharon,Wanda,,Male,71,1954-09-05,27,8396 E Peridot Drive,Purok 2,Poblacion I,Amadeo,Cavite,Region IV-A
Barr,Chad,Amber,Sr.,Male,40,1985-05-04,5,2297D Hibok-Hibok Drive,Purok 5,Poblacion I,Amadeo,Cavite,Region IV-A
